taxonomy,EvenMock_r1,EvenMock_r2,EvenMock_r3,f0_b0_b_p1_r1,f0_b0_b_p2_r1,f0_b0_b_p3_r1,f0_b0_b_p4_r1,f0_b0_b_p5_r1,f0_b0_b_p6_r1,f0_b0_f_p1_r1,f0_b0_f_p2_r1,f0_b0_f_p3_r1,f0_b0_f_p4_r1,f0_b0_f_p5_r1,f0_b0_f_p6_r1,f0_b100_b_p1_r1,f0_b100_b_p1_r2,f0_b100_b_p1_r3,f0_b100_b_p1_r4,f0_b100_b_p2_r1,f0_b100_b_p2_r2,f0_b100_b_p2_r3,f0_b100_b_p2_r4,f0_b100_b_p3_r1,f0_b100_b_p3_r2,f0_b100_b_p3_r3,f0_b100_b_p3_r4,f0_b100_b_p4_r1,f0_b100_b_p4_r2,f0_b100_b_p4_r3,f0_b100_b_p4_r4,f0_b100_b_p5_r1,f0_b100_b_p5_r2,f0_b100_b_p5_r3,f0_b100_b_p5_r4,f0_b100_b_p6_r1,f0_b100_b_p6_r2,f0_b100_b_p6_r3,f0_b100_b_p6_r4,f0_b100_f_p1_r1,f0_b100_f_p1_r2,f0_b100_f_p1_r3,f0_b100_f_p1_r4,f0_b100_f_p2_r1,f0_b100_f_p2_r2,f0_b100_f_p2_r3,f0_b100_f_p2_r4,f0_b100_f_p3_r1,f0_b100_f_p3_r2,f0_b100_f_p3_r3,f0_b100_f_p3_r4,f0_b100_f_p4_r1,f0_b100_f_p4_r2,f0_b100_f_p4_r3,f0_b100_f_p4_r4,f0_b100_f_p5_r1,f0_b100_f_p5_r2,f0_b100_f_p5_r3,f0_b100_f_p5_r4,f0_b100_f_p6_r1,f0_b100_f_p6_r2,f0_b100_f_p6_r3,f0_b100_f_p6_r4,f100_b0_b_p1_r1,f100_b0_b_p1_r2,f100_b0_b_p1_r3,f100_b0_b_p1_r4,f100_b0_b_p2_r1,f100_b0_b_p2_r2,f100_b0_b_p2_r3,f100_b0_b_p2_r4,f100_b0_b_p3_r1,f100_b0_b_p3_r2,f100_b0_b_p3_r3,f100_b0_b_p3_r4,f100_b0_b_p4_r1,f100_b0_b_p4_r2,f100_b0_b_p4_r3,f100_b0_b_p4_r4,f100_b0_b_p5_r1,f100_b0_b_p5_r2,f100_b0_b_p5_r3,f100_b0_b_p5_r4,f100_b0_b_p6_r1,f100_b0_b_p6_r2,f100_b0_b_p6_r3,f100_b0_b_p6_r4,f100_b0_f_p1_r1,f100_b0_f_p1_r2,f100_b0_f_p1_r3,f100_b0_f_p1_r4,f100_b0_f_p2_r1,f100_b0_f_p2_r2,f100_b0_f_p2_r3,f100_b0_f_p2_r4,f100_b0_f_p3_r1,f100_b0_f_p3_r2,f100_b0_f_p3_r3,f100_b0_f_p3_r4,f100_b0_f_p4_r1,f100_b0_f_p4_r2,f100_b0_f_p4_r3,f100_b0_f_p4_r4,f100_b0_f_p5_r1,f100_b0_f_p5_r2,f100_b0_f_p5_r3,f100_b0_f_p5_r4,f100_b0_f_p6_r1,f100_b0_f_p6_r2,f100_b0_f_p6_r3,f100_b0_f_p6_r4,f25_b75_b_p1_r1,f25_b75_b_p1_r2,f25_b75_b_p1_r3,f25_b75_b_p1_r4,f25_b75_b_p2_r1,f25_b75_b_p2_r2,f25_b75_b_p2_r3,f25_b75_b_p2_r4,f25_b75_b_p3_r1,f25_b75_b_p3_r2,f25_b75_b_p3_r3,f25_b75_b_p3_r4,f25_b75_b_p4_r1,f25_b75_b_p4_r2,f25_b75_b_p4_r3,f25_b75_b_p4_r4,f25_b75_b_p5_r1,f25_b75_b_p5_r2,f25_b75_b_p5_r3,f25_b75_b_p5_r4,f25_b75_b_p6_r1,f25_b75_b_p6_r2,f25_b75_b_p6_r3,f25_b75_b_p6_r4,f25_b75_f_p1_r1,f25_b75_f_p1_r2,f25_b75_f_p1_r3,f25_b75_f_p1_r4,f25_b75_f_p2_r1,f25_b75_f_p2_r2,f25_b75_f_p2_r3,f25_b75_f_p2_r4,f25_b75_f_p3_r1,f25_b75_f_p3_r2,f25_b75_f_p3_r3,f25_b75_f_p3_r4,f25_b75_f_p4_r1,f25_b75_f_p4_r2,f25_b75_f_p4_r3,f25_b75_f_p4_r4,f25_b75_f_p5_r1,f25_b75_f_p5_r2,f25_b75_f_p5_r3,f25_b75_f_p5_r4,f25_b75_f_p6_r1,f25_b75_f_p6_r2,f25_b75_f_p6_r3,f25_b75_f_p6_r4,f50_b50_b_p1_r1,f50_b50_b_p1_r2,f50_b50_b_p1_r3,f50_b50_b_p1_r4,f50_b50_b_p2_r1,f50_b50_b_p2_r2,f50_b50_b_p2_r3,f50_b50_b_p2_r4,f50_b50_b_p3_r1,f50_b50_b_p3_r2,f50_b50_b_p3_r3,f50_b50_b_p3_r4,f50_b50_b_p4_r1,f50_b50_b_p4_r2,f50_b50_b_p4_r3,f50_b50_b_p4_r4,f50_b50_b_p5_r1,f50_b50_b_p5_r2,f50_b50_b_p5_r3,f50_b50_b_p5_r4,f50_b50_b_p6_r1,f50_b50_b_p6_r2,f50_b50_b_p6_r3,f50_b50_b_p6_r4,f50_b50_f_p1_r1,f50_b50_f_p1_r2,f50_b50_f_p1_r3,f50_b50_f_p1_r4,f50_b50_f_p2_r1,f50_b50_f_p2_r2,f50_b50_f_p2_r3,f50_b50_f_p2_r4,f50_b50_f_p3_r1,f50_b50_f_p3_r2,f50_b50_f_p3_r3,f50_b50_f_p3_r4,f50_b50_f_p4_r1,f50_b50_f_p4_r2,f50_b50_f_p4_r3,f50_b50_f_p4_r4,f50_b50_f_p5_r1,f50_b50_f_p5_r2,f50_b50_f_p5_r3,f50_b50_f_p5_r4,f50_b50_f_p6_r1,f50_b50_f_p6_r2,f50_b50_f_p6_r3,f50_b50_f_p6_r4,f75_b25_b_p1_r1,f75_b25_b_p1_r2,f75_b25_b_p1_r3,f75_b25_b_p1_r4,f75_b25_b_p2_r1,f75_b25_b_p2_r2,f75_b25_b_p2_r3,f75_b25_b_p2_r4,f75_b25_b_p3_r1,f75_b25_b_p3_r2,f75_b25_b_p3_r3,f75_b25_b_p3_r4,f75_b25_b_p4_r1,f75_b25_b_p4_r2,f75_b25_b_p4_r3,f75_b25_b_p4_r4,f75_b25_b_p5_r1,f75_b25_b_p5_r2,f75_b25_b_p5_r3,f75_b25_b_p5_r4,f75_b25_b_p6_r1,f75_b25_b_p6_r2,f75_b25_b_p6_r3,f75_b25_b_p6_r4,f75_b25_f_p1_r1,f75_b25_f_p1_r2,f75_b25_f_p1_r3,f75_b25_f_p1_r4,f75_b25_f_p2_r1,f75_b25_f_p2_r2,f75_b25_f_p2_r3,f75_b25_f_p2_r4,f75_b25_f_p3_r1,f75_b25_f_p3_r2,f75_b25_f_p3_r3,f75_b25_f_p3_r4,f75_b25_f_p4_r1,f75_b25_f_p4_r2,f75_b25_f_p4_r3,f75_b25_f_p4_r4,f75_b25_f_p5_r1,f75_b25_f_p5_r2,f75_b25_f_p5_r3,f75_b25_f_p5_r4,f75_b25_f_p6_r1,f75_b25_f_p6_r2,f75_b25_f_p6_r3,f75_b25_f_p6_r4,FieldBlank,IGAPark,LogMock_r1,LogMock_r2,LogMock_r3,MittelmoleWarnemunde,Muhlendamm,NeptunWerft,PCRcontrol_r1,PCRcontrol_r2,PCRcontrol_r3,SABMarinaBramow,Stadthafen,TEcontrol_r1,TEcontrol_r2,TEcontrol_r3,WarnemundeStrand
d__Bacteria|p__Patescibacteria|c__ABY1|o__Candidatus Kerfeldbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Berkelbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Dojkabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Gracilibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,2
d__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales (SR1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__Candidatus Peribacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
d__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__JGI 0000069-P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Microgenomatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Candidatus Curtissbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Candidatus Daviesbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Candidatus Roizmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Candidatus Woesebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Parcubacteria,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
d__Bacteria|p__Patescibacteria|c__Parcubacteria|o__32-520,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d__Bacteria|p__Patescibacteria|c__Parcubacteria|o__Candidatus Yanofskybacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Patescibacteria|c__Parcubacteria|o__GWA2-38-13b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
